wavelength_um,radius_arcsec
1.9340011,0.45
1.936297,0.45
1.9385931,0.45
1.9408891,0.45
1.9431852,0.45
1.9454813,0.45
1.9477773,0.45
1.9500734,0.45
1.9523695,0.45
1.9546654,0.45
1.9569615,0.45
1.9592575,0.45
1.9615536,0.45
1.9638497,0.45
1.9661456,0.45
1.9684417,0.45
1.9707377,0.45
1.9730338,0.45
1.9753299,0.45
1.9776258,0.45
1.9799219,0.45
1.9822179,0.45
1.984514,0.45
1.9868101,0.45
1.989106,0.45
1.9914021,0.45
1.9936981,0.45
1.9959942,0.45
1.9982903,0.45
2.0005863,0.45
2.0028822,0.45
2.0051785,0.45
2.0074744,0.45
2.0097704,0.45
2.0120666,0.45
2.0143626,0.45
2.0166585,0.45
2.0189548,0.45
2.0212507,0.45
2.0235467,0.45
2.0258427,0.45
2.0281389,0.45
2.0304348,0.45
2.0327308,0.45
2.035027,0.45
2.037323,0.45
2.039619,0.45
2.0419152,0.45
2.0442111,0.45
2.0465071,0.45
2.048803,0.45
2.0510993,0.45
2.0533953,0.45
2.0556912,0.45
2.0579875,0.45
2.0602834,0.45
2.0625794,0.45
2.0648756,0.45
2.0671716,0.45
2.0694675,0.45
2.0717635,0.45
2.0740597,0.45
2.0763557,0.45
2.0786517,0.45
2.0809479,0.45
2.0832438,0.45
2.0855398,0.45
2.087836,0.45
2.090132,0.45
2.092428,0.45
2.0947242,0.45
2.0970201,0.45
2.0993161,0.45
2.101612,0.45
2.1039083,0.45
2.1062043,0.45
2.1085002,0.45
2.1107965,0.45
2.1130924,0.45
2.1153884,0.45
2.1176846,0.45
2.1199806,0.45
2.1222765,0.45
2.1245725,0.45
2.1268687,0.45
2.1291647,0.45
2.1314607,0.45
2.1337569,0.45
2.1360528,0.45
2.1383488,0.45
2.140645,0.45
2.142941,0.45
2.145237,0.45
2.147533,0.45
2.1498291,0.45
2.1521251,0.45
2.154421,0.45
2.1567173,0.45
2.1590133,0.45
2.1613092,0.45
2.1636055,0.45
2.1659014,0.45
2.1681974,0.45
2.1704936,0.45
2.1727896,0.45
2.1750855,0.45
2.1773815,0.45
2.1796777,0.45
2.1819737,0.45
2.1842697,0.45
2.1865659,0.45
2.1888618,0.45
2.1911578,0.45
2.193454,0.45
2.19575,0.45
2.198046,0.45
2.200342,0.45
2.2026381,0.45
2.2049341,0.45
